,Date,HA,Opponent,Team,link,pa,pf,week,game_id,Abbreviation
88,10/27/2018,H,Washington St.,Stanford,/game/football/fbs/2018/10/27/washington-st-stanford,41,38,09,09Stanford,STA
89,10/27/2018,A,Stanford,Washington St.,/game/football/fbs/2018/10/27/washington-st-stanford,38,41,09,09Washington St.,WST
90,10/27/2018,H,Washington,California,/game/football/fbs/2018/10/27/washington-california,10,12,09,09California,CAL
91,10/27/2018,A,California,Washington,/game/football/fbs/2018/10/27/washington-california,12,10,09,09Washington,WAS
92,10/27/2018,H,Oregon,Arizona,/game/football/fbs/2018/10/27/oregon-arizona,15,44,09,09Arizona,ARI
93,10/27/2018,A,Arizona,Oregon,/game/football/fbs/2018/10/27/oregon-arizona,44,15,09,09Oregon,ORE
94,10/27/2018,H,Oregon St.,Colorado,/game/football/fbs/2018/10/27/oregon-st-colorado,41,34,09,09Colorado,COL
95,10/27/2018,A,Colorado,Oregon St.,/game/football/fbs/2018/10/27/oregon-st-colorado,34,41,09,09Oregon St.,ORS
96,10/27/2018,H,Arizona St.,Southern California,/game/football/fbs/2018/10/27/arizona-st-southern-california,38,35,09,09Southern California,USC
97,10/27/2018,A,Southern California,Arizona St.,/game/football/fbs/2018/10/27/arizona-st-southern-california,35,38,09,09Arizona St.,ASU
98,11/02/2018,H,Colorado,Arizona,/game/football/fbs/2018/11/02/colorado-arizona,34,42,10,10Arizona,ARI
99,11/02/2018,A,Arizona,Colorado,/game/football/fbs/2018/11/02/colorado-arizona,42,34,10,10Colorado,COL
100,11/03/2018,H,California,Washington St.,/game/football/fbs/2018/11/03/california-washington-st,13,19,10,10Washington St.,WST
101,11/03/2018,A,Washington St.,California,/game/football/fbs/2018/11/03/california-washington-st,19,13,10,10California,CAL
102,11/03/2018,H,Utah,Arizona St.,/game/football/fbs/2018/11/03/utah-arizona-st,20,38,10,10Arizona St.,ASU
103,11/03/2018,A,Arizona St.,Utah,/game/football/fbs/2018/11/03/utah-arizona-st,38,20,10,10Utah,UTH
104,11/03/2018,H,UCLA,Oregon,/game/football/fbs/2018/11/03/ucla-oregon,21,42,10,10Oregon,ORE
105,11/03/2018,A,Oregon,UCLA,/game/football/fbs/2018/11/03/ucla-oregon,42,21,10,10UCLA,UCLA
106,11/03/2018,H,Stanford,Washington,/game/football/fbs/2018/11/03/stanford-washington,23,27,10,10Washington,WAS
107,11/03/2018,A,Washington,Stanford,/game/football/fbs/2018/11/03/stanford-washington,27,23,10,10Stanford,STA
108,11/03/2018,H,Southern California,Oregon St.,/game/football/fbs/2018/11/03/southern-california-oregon-st,38,21,10,10Oregon St.,ORS
109,11/03/2018,A,Oregon St.,Southern California,/game/football/fbs/2018/11/03/southern-california-oregon-st,21,38,10,10Southern California,USC
110,11/10/2018,H,Washington St.,Colorado,/game/football/fbs/2018/11/10/washington-st-colorado,31,7,11,11Colorado,COL
111,11/10/2018,A,Colorado,Washington St.,/game/football/fbs/2018/11/10/washington-st-colorado,7,31,11,11Washington St.,WST
112,11/10/2018,H,UCLA,Arizona St.,/game/football/fbs/2018/11/10/ucla-arizona-st,28,31,11,11Arizona St.,ASU
113,11/10/2018,A,Arizona St.,UCLA,/game/football/fbs/2018/11/10/ucla-arizona-st,31,28,11,11UCLA,UCLA
114,11/10/2018,H,Oregon,Utah,/game/football/fbs/2018/11/10/oregon-utah,25,32,11,11Utah,UTH
115,11/10/2018,A,Utah,Oregon,/game/football/fbs/2018/11/10/oregon-utah,32,25,11,11Oregon,ORE
116,11/10/2018,H,Oregon St.,Stanford,/game/football/fbs/2018/11/10/oregon-st-stanford,17,48,11,11Stanford,STA
117,11/10/2018,A,Stanford,Oregon St.,/game/football/fbs/2018/11/10/oregon-st-stanford,48,17,11,11Oregon St.,ORS
118,11/10/2018,A,USC,California,/game/football/fbs/2018/11/10/california-southern-california,14,15,11,11California,CAL
119,11/17/2018,H,Arizona,Washington St.,/game/football/fbs/2018/11/17/arizona-washington-st,28,69,12,12Washington St.,WST
